State,10-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60-69歲,70-79歲
台北縣,16.2,36,27.8,27.7,20.9,8.8,5.7
宜蘭縣,6,14.7,30.1,24.5,17,4.7,20.2
桃園縣,7.5,30.2,31.8,22.5,13.1,7.1,13.7
新竹縣,3.7,22.9,16.3,35.1,19.6,14.9,11.4
苗栗縣,15.2,39.4,25.5,23.3,12.1,20.1,12.2
台中縣,19.1,25.8,25.7,17.5,14.9,8.4,8.4
彰化縣,0,18.3,25.5,26,15.1,13.1,7.8
南投縣,0,32.7,38.1,17.5,14.7,25.5,12.5
雲林縣,0,31,27.7,21.9,12.2,16,19
嘉義縣,6.1,34.6,26.4,25,23.5,16.4,6.1
台南縣,4.7,20.3,32.8,15.9,13.7,16.9,5.9
高雄縣,0,17,27.7,26,19.4,13.9,15.8
屏東縣,18,27.9,23.2,26.8,20.5,11.6,7
台東縣,12.7,22.5,27.2,28.9,12.7,10.6,18.8
花蓮縣,22.2,12.5,49.8,30.3,16,12.9,6.7
澎湖縣,0,18,32.4,32.1,12.3,18.2,3.9
基隆市,10.9,19.1,24.1,34.2,28.6,12.8,14.5
新竹市,1.4,19.2,33.1,25.5,16.6,14.6,10
台中市,0,17.4,20.3,22.6,8,10.5,8.1
嘉義市,5.3,20.6,19.2,21.5,17.4,11.2,16.7
台南市,0,25.6,13.8,19.9,17,12.6,4.4
金門縣,0,25,19.9,11.4,8.5,20.6,15.2
連江縣,11.8,22.1,16,23.8,27.2,9.8,0
台北市,0,10.2,17.7,19.9,18.2,9.4,4.4
高雄市,24.8,17.7,31.9,20.8,21,17.6,9.9
