State,10-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60-69歲,70-79歲
台北縣,0,25.1,28,24.5,25,13.3,9.5
宜蘭縣,11.5,19.7,24.4,21.8,7.9,11.8,15.8
桃園縣,0.6,19.8,19.7,32.4,21.2,13.6,7.4
新竹縣,7.1,9.4,13.5,21,18.2,9,14.3
苗栗縣,23.5,20.3,15.8,26.7,17,11.3,5
台中縣,5.8,22,23.5,19.2,12,9.7,5.5
彰化縣,11.7,10.9,16.7,27.7,6.5,21.6,8
南投縣,0,14.3,21.7,24.7,19.3,17.4,7.3
雲林縣,11.8,21.6,14.8,34.2,19.1,12,7
嘉義縣,0,18.2,26.1,32.6,14.5,12.2,5.5
台南縣,0,15.1,26.9,9.4,6.6,12.8,6.7
高雄縣,0,17.9,27.6,23.3,22,13.4,17.2
屏東縣,0,21.6,27.2,19.3,11.6,5.5,10.5
台東縣,11.2,7.9,35.7,24.6,22,12.2,7.9
花蓮縣,6,15.8,24,23,17.7,23,11.1
澎湖縣,1.7,18.5,23.8,21.9,21.4,11.9,8.7
基隆市,0,17.6,28.6,28.5,16.3,15.4,16.1
新竹市,11.9,3.2,21.1,16.5,22,9.3,7.4
台中市,0,8.5,20.7,19.5,17.6,20.9,24.4
嘉義市,0,26.7,12.8,23.5,15.4,12,4.1
台南市,8.2,12.6,20.1,22.7,14.7,6.7,22.6
金門縣,1.2,7.6,19.1,20.1,7.8,12.4,6.3
連江縣,0,30.7,24.5,31.2,2.7,0.4,18.9
台北市,15.1,9.6,17.3,24.4,16.9,16.6,26.6
高雄市,1.4,20.1,16.2,22.9,20.8,13.6,12.1
