State,10-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60-69歲,70-79歲
台北縣,6.1,25.9,31.2,23.5,16.8,4,20.1
宜蘭縣,13.8,18.4,22.2,28.4,18.4,7.7,10.9
桃園縣,5.6,24.6,20.5,30.4,8.6,10.9,6.7
新竹縣,7.4,33.9,29.3,23.9,19.4,12.1,15.4
苗栗縣,0,31.6,20.5,27,16.1,15.1,6.6
台中縣,5.8,17,21.2,20.5,18,13.5,8.7
彰化縣,0.8,16,24.2,19,17.2,10.2,4.8
南投縣,16.3,22,26.1,25.7,17.9,22.4,3.6
雲林縣,6.7,30.3,25.9,26.6,14.5,11.2,8.4
嘉義縣,4.6,15.7,24.4,25.9,12.9,19.5,11.6
台南縣,0,17.4,21.6,17,24.7,4.8,8.4
高雄縣,1.9,25.7,37.1,18.1,16.2,12.7,1.8
屏東縣,10,25.6,20.5,23.7,19,6.7,8.6
台東縣,0,23.4,33.9,41.4,14.7,12.4,4.6
花蓮縣,18.4,32.6,29.5,31.3,16.5,13,10.2
澎湖縣,23.3,2.1,27.5,33.7,13.6,8.7,10.9
基隆市,12.4,29.2,38,32.9,22.2,8.2,19.2
新竹市,28.2,13.6,14.8,23.1,15,21.5,18.5
台中市,8.7,14.2,22.8,15.4,13.3,4.1,7
嘉義市,0,23.6,25.6,20.3,9.3,15.4,8.4
台南市,4.1,21.8,18.1,19,14.7,10.8,5.9
金門縣,0,40.1,11.8,31.2,9.5,5.2,16.8
連江縣,6.1,5.8,18.3,46.4,16.1,5.5,7.7
台北市,0,18.9,24.1,25.5,19.4,4.6,22.7
高雄市,12.6,30.2,18.2,16,22.3,13.8,7.3
