State,10-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60-69歲,70-79歲
台北縣,15.7,30,32,18.9,19.3,9,8.8
宜蘭縣,6.4,26.5,22.7,18,25.1,19.9,25.3
桃園縣,0,34.5,24.8,27.2,18.3,16.2,23.7
新竹縣,17.1,41.5,26.8,16.6,12.4,23.9,12
苗栗縣,14.9,28.3,27.9,25.8,15.7,14.3,17
台中縣,8.1,29.6,24,24.7,18.5,1.1,5.2
彰化縣,7.5,16.6,28.2,27.2,10.7,13.1,20.9
南投縣,8.9,17.2,23.7,20.5,23.3,20,6.7
雲林縣,0,26.2,29.4,23.8,12.5,12,15.5
嘉義縣,6.3,28.9,30,22.2,20.6,11.6,5.7
台南縣,1.8,15.2,22.3,19.9,22.6,9.4,2.7
高雄縣,9.7,25.7,23.4,20.4,12.8,19.3,5.2
屏東縣,15.9,26.6,18.3,15,20.2,7.3,16.3
台東縣,19.3,44,39.8,19.4,26.9,10.8,17.9
花蓮縣,0,32.8,30.7,21.5,23.1,26.2,14.5
澎湖縣,29.5,20.9,29,27.6,24.1,17.6,10.2
基隆市,23.7,32.1,29.1,35,18.6,19.5,16.6
新竹市,0,17.9,24.4,23.4,16.5,7.1,21.4
台中市,0,17.4,22.6,14.3,10.1,15.2,11.6
嘉義市,0,14.5,20.2,28.4,17.1,17.3,6
台南市,0,20.1,25.6,17.9,15.2,9.6,11.1
金門縣,7,9.4,25.4,13.8,16.5,14.1,18.6
連江縣,10.6,5.9,32.7,31.3,18.8,20.4,13.2
台北市,18.7,13.9,14.5,21.9,19.8,5.4,5.8
高雄市,20.6,22.1,21.8,25.1,17.7,14.4,11.8
